ProcessorNumber,url,ProductCollection,CodeName,VerticalSegment,Status,LaunchDate,Lithography,TotalCores,TotalThreads,MaxTurboFrequency,Cache,BusSpeed,EmbeddedOptionsAvailable,Datasheet,MaxMemorySizedependentonmemorytype,MemoryTypes,MaxofMemoryChannels,ECCMemorySupported,ProcessorGraphics,GraphicsMaxDynamicFrequency,MaxResolutionHDMI,MaxResolutionDP,MaxResolutioneDPIntegratedFlatPanel,DirectXSupport,OpenGLSupport,IntelQuickSyncVideo,ofDisplaysSupported,DeviceID,PCIExpressRevision,PCIExpressConfigurations,MaxofPCIExpressLanes,SocketsSupported,MaxCPUConfiguration,TJUNCTION,PackageSize,IntelTurboBoostTechnology,IntelHyperThreadingTechnology,Intel64,InstructionSet,InstructionSetExtensions,IdleStates,EnhancedIntelSpeedStepTechnology,ThermalMonitoringTechnologies,IntelvProPlatformEligibility,IntelAESNewInstructions,SecureKey,IntelSoftwareGuardExtensionsIntelSGX,IntelTrustedExecutionTechnology,ExecuteDisableBit,IntelOSGuard,IntelStableITPlatformProgramSIPP,IntelVirtualizationTechnologyVTx,IntelVirtualizationTechnologyforDirectedIOVTd,IntelVTxwithExtendedPageTablesEPT,RecommendedCustomerPrice,IntelBootGuard
M3-7Y30,https://ark.intel.com/products/95449/intel-core-m3-7y30-processor-4m-cache-2-60-ghz.html,7th Generation Intel® Core™ m Processors,Products formerly Kaby Lake,Mobile,Launched,Q3'16,14 nm,2,4,2.60 GHz,4 MB Intel® Smart Cache,4 GT/s,No,View now,16 GB,"LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 615,900 MHz,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,4.5,Yes,3,0x591E,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",10,FCBGA1515,1,100°C,20.5mm X 16.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,
i3-8100,https://ark.intel.com/products/126688/intel-core-i3-8100-processor-6m-cache-3-60-ghz.html,8th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Desktop,Launched,Q4'17,14 nm,4,4,,6 MB Intel® Smart Cache,8 GT/s,Yes,View now,64 GB,DDR4-2400,2,Yes,Intel® UHD Graphics 630,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E91/x92,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,No,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$117.00,Yes
i9-10900E,https://ark.intel.com/content/www/us/en/ark/products/203902/intel-core-i9-10900e-processor-20m-cache-up-to-4-70-ghz.html,10th Generation Intel® Core™ i9 Processors,Products formerly Comet Lake,Embedded,Launched,Q2'20,14 nm,10,20,4.70 GHz,20 MB Intel® Smart Cache,8 GT/s,Yes,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC5,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$444.00,Yes
i7-1185GRE,https://ark.intel.com/content/www/us/en/ark/products/208082/intel-core-i71185gre-processor-12m-cache-up-to-4-40-ghz.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'20,10 nm SuperFin,4,8,4.40 GHz,12 MB Intel® Smart Cache,4 GT/s,Yes,,64 GB,"DDR4-3200, LPDDR4x-4267, In-Band ECC",2,Yes,Intel® Iris® Xe Graphics,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100C,46.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",No,,Yes,Yes,Yes,,No,Yes,,Yes,,Yes,Yes,Yes,$490.00,Yes
i7-8557U,https://ark.intel.com/content/www/us/en/ark/products/192996/intel-core-i7-8557u-processor-8m-cache-up-to-4-50-ghz.html,8th Generation Intel® Core™ i7 Processors,Products formerly Coffee Lake,Mobile,Launched,Q3'19,14 nm,4,8,4.50 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,32 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® Iris® Plus Graphics 645,1.15 GHz,4096 x 2304@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3EA6,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$431.00,
i3-10100E,https://ark.intel.com/content/www/us/en/ark/products/203898/intel-core-i3-10100e-processor-6m-cache-up-to-3-80-ghz.html,10th Generation Intel® Core™ i3 Processors,Products formerly Comet Lake,Embedded,Launched,Q2'20,14 nm,4,8,3.80 GHz,6 MB Intel® Smart Cache,8 GT/s,Yes,View now,128 GB,DDR4-2666,2,Yes,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$125.00,Yes
i5-8300H,https://ark.intel.com/products/134876/intel-core-i5-8300h-processor-8m-cache-up-to-4-00-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Mobile,Launched,Q2'18,14 nm,4,8,4.00 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,"DDR4-2666, LPDDR3-2133",2,No,Intel® UHD Graphics 630,1.00 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E9B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$250.00,
i3-12300,https://ark.intel.com/content/www/us/en/ark/products/223095/intel-core-i312300-processor-12m-cache-up-to-4-40-ghz.html,12th Generation Intel® Core™ i3 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,4,8,4.40 GHz,12 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$143.00,Yes
N4200,https://ark.intel.com/products/95592/intel-pentium-processor-n4200-2m-cache-up-to-2-5-ghz.html,Intel® Pentium® Processor N Series,Products formerly Apollo Lake,Mobile,Launched,Q3'16,14 nm,4,4,,2 MB L2 Cache,,Yes,,8 GB,DDR3L/LPDDR3 up to 1866 MT/s;,2,No,Intel® HD Graphics 505,,,,,Yes,Yes,Yes,3,0x5A84,2.0,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,FCBGA1296,1,105°C,24mm x 31mm,No,No,Yes,64-bit,,Yes,Yes,Yes,No,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,$56.00,
i5-10505,https://ark.intel.com/content/www/us/en/ark/products/201891/intel-core-i510505-processor-12m-cache-up-to-4-60-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q1'21,14 nm,6,12,4.60 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$192.00,Yes
